1,0,0.52,1.2883301,-0.29322991,-1.5707963,-3.269651e-15,-3.2627121e-15,0.78539816,-7.2409008e-31,-1.5730874e-31,-2.3561945,0,-0,0,0,-14.319115,0.041381864,-0.045831468,-1.0899358
2,0.001,0.52000001,1.2883277,-0.2932335,-1.5708036,1.851161e-09,-2.7921939e-08,0.78539141,1.8434677e-08,-2.1052886e-08,-2.356195,-0.013126628,3.476977e-05,-4.0325612e-05,-0.0010562393,-12.199008,0.029762838,-0.03603019,-1.0252259
3,0.002,0.52000003,1.2883209,-0.29324346,-1.5708239,8.1357004e-09,-1.0120438e-07,0.78537263,6.5807519e-08,-7.7316796e-08,-2.3561966,-0.024123585,5.8457654e-05,-7.0773899e-05,-0.0020278562,-10.341694,0.020476259,-0.027406455,-0.93937338
4,0.003,0.52000007,1.2883104,-0.29325875,-1.5708553,1.9282942e-08,-2.0653616e-07,0.78534379,1.3239933e-07,-1.5968542e-07,-2.356199,-0.033322374,7.3703408e-05,-9.2900192e-05,-0.0029007045,-8.7260561,0.013160864,-0.019951269,-0.84329832
5,0.004,0.5200001,1.2882968,-0.2932785,-1.5708958,3.5111716e-08,-3.3333929e-07,0.78530655,2.1085486e-07,-2.6055352e-07,-2.3562023,-0.040987385,8.2501446e-05,-0.00010802639,-0.0036702261,-7.3740795,0.0076537691,-0.013814607,-0.74813998
6,0.005,0.52000014,1.2882805,-0.29330191,-1.5709439,5.5016894e-08,-4.7267111e-07,0.7852624,2.9527547e-07,-3.7317186e-07,-2.3562063,-0.047313617,8.6356207e-05,-0.00011721567,-0.0043350524,-6.389254,0.0040930562,-0.0094708236,-0.66965527
7,0.006,0.52000019,1.2882621,-0.29332828,-1.5709983,7.8108723e-08,-6.1727386e-07,0.78521267,3.811561e-07,-4.9178045e-07,-2.3562109,-0.052520873,8.666612e-05,-0.00012167275,-0.0049021985,-5.6012553,0.0015709609,-0.0061283305,-0.60131584
8,0.007,0.52000023,1.2882419,-0.29335717,-1.5710579,1.037118e-07,-7.6326171e-07,0.78515818,4.6622508e-07,-6.1315475e-07,-2.3562161,-0.056888065,8.4663137e-05,-0.00012275717,-0.0053909839,-4.7785461,-0.00081166824,-0.0027657206,-0.52629556
9,0.008,0.52000027,1.2882202,-0.29338819,-1.571122,1.3109547e-07,-9.0708502e-07,0.78509968,5.4848832e-07,-7.3426821e-07,-2.3562216,-0.060500277,8.0860379e-05,-0.00012098304,-0.0058058918,-4.0009905,-0.0028057281,0.0002608453,-0.4520371
10,0.009,0.5200003,1.2881971,-0.29342096,-1.5711897,1.5954409e-07,-1.045847e-06,0.78503788,6.2640364e-07,-8.5256594e-07,-2.3562276,-0.063451173,7.5741364e-05,-0.00011688986,-0.0061532884,-3.300927,-0.0043479198,0.0028157355,-0.38227679
11,0.01,0.52000034,1.288173,-0.29345514,-1.5712605,1.8839062e-07,-1.177305e-06,0.78497339,6.9885776e-07,-9.6598955e-07,-2.3562339,-0.065831397,6.972352e-05,-0.00011098656,-0.0064402417,-2.6871252,-0.0054612023,0.0048741125,-0.31872775
12,0.011,0.52000037,1.2881481,-0.29349047,-1.5713337,2.1703731e-07,-1.2998099e-06,0.78490674,7.6510865e-07,-1.0729491e-06,-2.3562404,-0.067723632,6.3149273e-05,-0.00010372746,-0.0066738538,-2.1571985,-0.0062032322,0.006464103,-0.261984
13,0.012,0.52000039,1.2881225,-0.29352671,-1.5714088,2.449667e-07,-1.4122232e-06,0.78483839,8.2471888e-07,-1.172272e-06,-2.3562472,-0.069200968,5.6289891e-05,-9.5504675e-05,-0.0068608927,-1.703957,-0.0066406651,0.0076365566,-0.21202063
14,0.013,0.52000042,1.2880963,-0.29356363,-1.5714854,2.7174545e-07,-1.5138306e-06,0.78476873,8.7749192e-07,-1.2631455e-06,-2.3562541,-0.07032688,4.9354453e-05,-8.6648746e-05,-0.0070076009,-1.3185932,-0.0068371807,0.0084494718,-0.16847901
15,0.014,0.52000044,1.2880698,-0.29360108,-1.5715631,2.9702315e-07,-1.6042625e-06,0.78469807,9.2341634e-07,-1.3450588e-06,-2.3562612,-0.071155915,4.2500113e-05,-7.7433164e-05,-0.0071196115,-0.99222119,-0.0068486204,0.0089602117,-0.13083338
16,0.015,0.52000046,1.2880429,-0.29363891,-1.5716416,3.2052766e-07,-1.683423e-06,0.78462669,9.6261909e-07,-1.4177502e-06,-2.3562683,-0.071734657,3.5841907e-05,-6.8080498e-05,-0.0072019293,-0.71656856,-0.0067216771,0.0092218478,-0.098489633
17,0.016,0.52000047,1.2880159,-0.293677,-1.5717207,3.4205842e-07,-1.7514302e-06,0.78455483,9.9532759e-07,-1.4811599e-06,-2.3562755,-0.072102734,2.9461376e-05,-5.8768907e-05,-0.00725895,-0.48424056,-0.0064942463,0.0092816769,-0.070843733
18,0.017,0.52000048,1.2879887,-0.29371523,-1.5718001,3.6147855e-07,-1.8085653e-06,0.78448268,1.0218396e-06,-1.5353888e-06,-2.3562828,-0.072293774,2.3413812e-05,-4.9638448e-05,-0.0072945013,-0.28877353,-0.006196458,0.0091808648,-0.047315445
19,0.018,0.52000049,1.2879614,-0.29375353,-1.5718797,3.7870656e-07,-1.8552312e-06,0.78441041,1.0424998e-06,-1.580663e-06,-2.3562901,-0.072336273,1.7734193e-05,-4.0796897e-05,-0.0073118935,-0.12459071,-0.0058518992,0.0089546558,-0.027366617
20,0.019,0.5200005,1.2879342,-0.29379181,-1.5719593,3.9370818e-07,-1.8919188e-06,0.78433815,1.0576811e-06,-1.6173044e-06,-2.3562974,-0.072254354,1.2441947e-05,-3.2324954e-05,-0.0073139749,0.013082215,-0.0054787965,0.0086328467,-0.010509774
21,0.02,0.5200005,1.287907,-0.29383003,-1.5720387,4.0648853e-07,-1.9191793e-06,0.78426601,1.0677714e-06,-1.6457054e-06,-2.3563047,-0.072068425,7.5447488e-06,-2.4280829e-05,-0.007303186,0.12831338,-0.0050910645,0.0082403657,0.0036893286
22,0.021,0.5200005,1.2878798,-0.29386813,-1.5721179,4.1708493e-07,-1.9376022e-06,0.7841941,1.0731625e-06,-1.6663086e-06,-2.356312,-0.071795743,3.041494e-06,-1.6704208e-05,-0.0072816115,0.22455927,-0.0046991914,0.0077978693,0.015612786
23,0.022,0.5200005,1.2878528,-0.29390606,-1.5721968,4.2556043e-07,-1.9477977e-06,0.7841225,1.0742426e-06,-1.6795894e-06,-2.3563193,-0.071450896,-1.0753607e-06,-9.6196684e-06,-0.0072510273,0.30475146,-0.0043109669,0.0073223163,0.025593719
24,0.023,0.5200005,1.2878259,-0.29394379,-1.5722752,4.3199807e-07,-1.9503835e-06,0.78405127,1.0713907e-06,-1.6860427e-06,-2.3563265,-0.071046211,-4.8179824e-06,-3.0395844e-06,-0.0072129434,0.3713736,-0.0039320701,0.0068274948,0.033920512
25,0.024,0.5200005,1.2877992,-0.2939813,-1.5723532,4.3649593e-07,-1.9459732e-06,0.78398046,1.0649722e-06,-1.6861716e-06,-2.3563337,-0.070592105,-8.2017549e-06,3.0334138e-06,-0.0071686414,0.42652849,-0.0035665384,0.0063244971,0.040841474
26,0.025,0.52000049,1.2877726,-0.29401855,-1.5724307,4.3916283e-07,-1.9351688e-06,0.78391013,1.0553366e-06,-1.6804783e-06,-2.3563408,-0.070097376,-1.1244195e-05,8.6043734e-06,-0.0071192079,0.47199567,-0.0032171396,0.0058221388,0.046569517
27,0.026,0.52000048,1.2877463,-0.29405553,-1.5725076,4.4011477e-07,-1.9185545e-06,0.78384031,1.0428153e-06,-1.6694576e-06,-2.3563479,-0.069569452,-1.3964122e-05,1.3684291e-05,-0.0070655628,0.50928077,-0.0028856645,0.0053273248,0.051286611
28,0.027,0.52000048,1.2877201,-0.29409222,-1.5725839,4.394719e-07,-1.8966918e-06,0.78377102,1.0277208e-06,-1.6535916e-06,-2.356355,-0.069014607,-1.6381025e-05,1.8288678e-05,-0.0070084842,0.5396574,-0.0025731569,0.0048453663,0.05514789
29,0.028,0.52000047,1.2876941,-0.29412861,-1.5726596,4.3735607e-07,-1.8701167e-06,0.7837023,1.0103463e-06,-1.6333454e-06,-2.3563619,-0.068438131,-1.8514588e-05,2.2436374e-05,-0.0069486301,0.56420285,-0.0022800939,0.0043802527,0.058285355
30,0.029,0.52000046,1.2876684,-0.29416469,-1.5727347,4.3388882e-07,-1.8393374e-06,0.78363417,9.9096521e-07,-1.6091643e-06,-2.3563689,-0.06784449,-2.0384331e-05,2.6148575e-05,-0.0068865561,0.58382824,-0.0020065267,0.0039348846,0.060811152
31,0.03,0.52000045,1.2876429,-0.29420045,-1.5728091,4.2918983e-07,-1.8048333e-06,0.78356663,9.6983195e-07,-1.5814719e-06,-2.3563757,-0.067237448,-2.2009353e-05,2.9448039e-05,-0.006822731,0.5993041,-0.0017521903,0.0035112711,0.062820451
32,0.031,0.52000044,1.2876176,-0.29423589,-1.5728828,4.2337558e-07,-1.7670542e-06,0.7834997,9.471821e-07,-1.5506688e-06,-2.3563825,-0.066620177,-2.3408142e-05,3.2358449e-05,-0.0067575503,0.61128207,-0.0015165895,0.003110697,0.064393941
33,0.032,0.52000043,1.2875926,-0.29427099,-1.5729558,4.1655852e-07,-1.7264204e-06,0.7834334,9.2323319e-07,-1.5171318e-06,-2.3563892,-0.065995348,-2.4598445e-05,3.4903895e-05,-0.0066913473,0.62031319,-0.0012990653,0.0027338633,0.065599988
34,0.033,0.52000041,1.2875677,-0.29430576,-1.5730282,4.0884627e-07,-1.683323e-06,0.78336772,8.9818543e-07,-1.4812138e-06,-2.3563959,-0.06536521,-2.5597182e-05,3.7108472e-05,-0.0066244026,0.62686343,-0.0010988463,0.0023810056,0.066496485
35,0.034,0.5200004,1.2875432,-0.2943402,-1.5730998,4.0034121e-07,-1.6381245e-06,0.78330267,8.7222258e-07,-1.4432439e-06,-2.3564025,-0.064731651,-2.6420392e-05,3.8995958e-05,-0.0065569521,0.63132677,-0.0009150888,0.0020519921,0.067132435
36,0.035,0.52000039,1.2875188,-0.29437429,-1.5731707,3.9114011e-07,-1.5911602e-06,0.78323826,8.4551283e-07,-1.4035275e-06,-2.356409,-0.06409626,-2.7083209e-05,4.058957e-05,-0.0064891944,0.63403634,-0.00074690748,0.0017464056,0.067549303
37,0.036,0.52000038,1.2874947,-0.29440805,-1.573241,3.8133393e-07,-1.5427386e-06,0.78317448,8.1820968e-07,-1.3623475e-06,-2.3564155,-0.063460368,-2.7599853e-05,4.1911784e-05,-0.0064212958,0.63527378,-0.00059339858,0.0014636111,0.067782167
38,0.037,0.52000036,1.2874709,-0.29444147,-1.5733105,3.7100784e-07,-1.4931429e-06,0.78311134,7.9045286e-07,-1.3199647e-06,-2.3564218,-0.062825089,-2.798364e-05,4.2984196e-05,-0.0063533958,0.63527719,-0.00045365776,0.0012028117,0.067860693
39,0.038,0.52000035,1.2874473,-0.29447455,-1.5733793,3.6024113e-07,-1.4426326e-06,0.78304883,7.6236926e-07,-1.2766188e-06,-2.3564282,-0.062191356,-2.8247001e-05,4.3827431e-05,-0.0062856112,0.63424785,-0.0003267933,0.00096309422,0.067809968
40,0.039,0.52000034,1.2874239,-0.2945073,-1.5734475,3.491074e-07,-1.3914443e-06,0.78298695,7.3407372e-07,-1.2325295e-06,-2.3564344,-0.061559946,-2.8401508e-05,4.4461083e-05,-0.0062180394,0.63235587,-0.00021193589,0.00074346612,0.0676512
41,0.04,0.52000032,1.2874008,-0.29453971,-1.5735149,3.3767466e-07,-1.3397932e-06,0.78292571,7.0566993e-07,-1.1878973e-06,-2.3564406,-0.060931506,-2.8457909e-05,4.4903679e-05,-0.0061507616,0.62974503,-0.00010824561,0.00054288578,0.067402317
42,0.041,0.52000031,1.2873779,-0.29457179,-1.5735816,3.2600551e-07,-1.2878746e-06,0.78286509,6.7725123e-07,-1.1429047e-06,-2.3564467,-0.060306573,-2.8426161e-05,4.5172666e-05,-0.006083845,0.62653681,-1.4916794e-05,0.00036028645,0.067078469
43,0.042,0.5200003,1.2873552,-0.29460353,-1.5736477,3.1415739e-07,-1.2358649e-06,0.78280509,6.4890135e-07,-1.0977176e-06,-2.3564528,-0.059685591,-2.8315475e-05,4.5284416e-05,-0.0060173456,0.62283388,6.8818804e-05,0.00019459539,0.066692461
44,0.043,0.52000028,1.2873328,-0.29463495,-1.573713,3.0218282e-07,-1.1839233e-06,0.78274571,6.2069515e-07,-1.0524857e-06,-2.3564588,-0.059068924,-2.8134349e-05,4.5254241e-05,-0.0059513091,0.61872293,0.00014369011,4.4748852e-05,0.066255107
45,0.044,0.52000027,1.2873106,-0.29466604,-1.5737777,2.9012962e-07,-1.1321924e-06,0.78268695,5.9269934e-07,-1.0073442e-06,-2.3564647,-0.058456869,-2.7890615e-05,4.5096422e-05,-0.0058857734,0.6142772,0.00021038584,-9.0296301e-05,0.065775544
46,0.045,0.52000026,1.2872887,-0.29469681,-1.5738417,2.780412e-07,-1.0808e-06,0.78262879,5.6497309e-07,-9.6241416e-07,-2.3564705,-0.05784967,-2.7591477e-05,4.482424e-05,-0.0058207689,0.60955852,0.00026955443,-0.00021155383,0.065261485
47,0.046,0.52000025,1.2872669,-0.29472725,-1.5739051,2.6595683e-07,-1.0298599e-06,0.78257124,5.3756864e-07,-9.1780414e-07,-2.3564763,-0.057247521,-2.7243547e-05,4.4450014e-05,-0.0057563205,0.60461907,0.00032180445,-0.00032000162,0.064719443
48,0.047,0.52000023,1.2872454,-0.29475738,-1.5739677,2.5391187e-07,-9.7947294e-07,0.78251429,5.105319e-07,-8.736107e-07,-2.356482,-0.056650576,-2.6852891e-05,4.3985149e-05,-0.0056924478,0.59950289,0.00036770555,-0.00041657707,0.064154912
49,0.048,0.52000022,1.2872242,-0.29478719,-1.5740298,2.4193805e-07,-9.2972809e-07,0.78245794,4.8390294e-07,-8.2991944e-07,-2.3564877,-0.056058957,-2.6425059e-05,4.3440177e-05,-0.0056291665,0.59424712,0.00040778968,-0.00050217401,0.063572528
50,0.049,0.52000021,1.2872031,-0.29481669,-1.5740911,2.3006371e-07,-8.8070342e-07,0.78240217,4.5771654e-07,-7.8680582e-07,-2.3564933,-0.055472756,-2.5965125e-05,4.2824803e-05,-0.0055664885,0.58888307,0.00044255247,-0.00057764083,0.062976199
51,0.05,0.5200002,1.2871823,-0.29484588,-1.5741518,2.1831406e-07,-8.3246697e-07,0.78234699,4.320026e-07,-7.4433597e-07,-2.3564988,-0.054892041,-2.5477719e-05,4.2147954e-05,-0.0055044227,0.58343712,0.00047245493,-0.00064377958,0.062369219
52,0.051,0.52000019,1.2871617,-0.29487476,-1.5742119,2.067114e-07,-7.8507756e-07,0.78229238,4.0678657e-07,-7.0256748e-07,-2.3565043,-0.054316863,-2.4967059e-05,4.1417825e-05,-0.0054429758,0.57793147,0.00049792503,-0.00070134589,0.06175436
53,0.052,0.52000017,1.2871413,-0.29490333,-1.5742714,1.9527532e-07,-7.385856e-07,0.78223835,3.8208991e-07,-6.6155003e-07,-2.3565097,-0.053747251,-2.4436982e-05,4.0641923e-05,-0.0053821521,0.57238481,0.00051935951,-0.00075104946,0.061133955
54,0.053,0.52000016,1.2871211,-0.29493161,-1.5743302,1.8402296e-07,-6.9303382e-07,0.78218488,3.5793038e-07,-6.2132613e-07,-2.3565151,-0.053183224,-2.3890974e-05,3.9827116e-05,-0.0053219541,0.56681283,0.0005371256,-0.00079355499,0.060509967
55,0.054,0.52000015,1.2871011,-0.29495959,-1.5743884,1.7296917e-07,-6.4845792e-07,0.78213197,3.343224e-07,-5.8193172e-07,-2.3565204,-0.052624788,-2.3332192e-05,3.8979668e-05,-0.005262383,0.56122874,0.00055156276,-0.00082948354,0.059884042
56,0.055,0.52000014,1.2870814,-0.29498727,-1.574446,1.6212669e-07,-6.0488724e-07,0.78207962,3.1127741e-07,-5.4339673e-07,-2.3565256,-0.052071937,-2.2763497e-05,3.8105289e-05,-0.0052034387,0.55564356,0.00056298439,-0.00085941407,0.059257562
57,0.056,0.52000013,1.2870618,-0.29501466,-1.5745029,1.5150638e-07,-5.6234532e-07,0.78202782,2.888041e-07,-5.0574562e-07,-2.3565308,-0.051524659,-2.218747e-05,3.7209168e-05,-0.0051451199,0.55006657,0.0005716795,-0.00088388519,0.058631683
58,0.057,0.52000012,1.2870425,-0.29504176,-1.5745593,1.4111733e-07,-5.2085045e-07,0.78197657,2.6690871e-07,-4.689979e-07,-2.3565359,-0.050982934,-2.1606438e-05,3.6296015e-05,-0.0050874247,0.54450548,0.00057791428,-0.00090339709,0.058007373
59,0.058,0.52000011,1.2870234,-0.29506857,-1.5746151,1.3096703e-07,-4.8041618e-07,0.78192585,2.4559524e-07,-4.331686e-07,-2.3565409,-0.050446736,-2.1022495e-05,3.5370093e-05,-0.0050303502,0.53896673,0.00058193366,-0.00091841339,0.057385437
60,0.059,0.5200001,1.2870045,-0.2950951,-1.5746703,1.2106153e-07,-4.4105175e-07,0.78187567,2.2486575e-07,-3.9826867e-07,-2.3565459,-0.049916036,-2.0437518e-05,3.4435255e-05,-0.0049738931,0.53345569,0.00058396278,-0.0009293632,0.056766547
61,0.06,0.52000009,1.2869857,-0.29512136,-1.5747249,1.1140556e-07,-4.0276255e-07,0.78182602,2.0472045e-07,-3.6430537e-07,-2.3565509,-0.049390799,-1.9853187e-05,3.3494972e-05,-0.0049180495,0.52797678,0.00058420836,-0.00093664305,0.056151258
62,0.061,0.52000008,1.2869672,-0.29514733,-1.5747789,1.0200266e-07,-3.6555052e-07,0.78177688,1.8515802e-07,-3.312827e-07,-2.3565558,-0.048870987,-1.9271001e-05,3.2552365e-05,-0.0048628151,0.52253368,0.00058286002,-0.00094061883,0.055540029
63,0.062,0.52000007,1.2869489,-0.29517303,-1.5748324,9.2855272e-08,-3.2941446e-07,0.78172827,1.6617568e-07,-2.9920165e-07,-2.3565606,-0.04835656,-1.8692293e-05,3.1610233e-05,-0.0048081853,0.51712938,0.00058009155,-0.00094162772,0.054933237
64,0.063,0.52000007,1.2869307,-0.29519846,-1.5748852,8.3964893e-08,-2.9435043e-07,0.78168016,1.4776941e-07,-2.6806059e-07,-2.3565654,-0.047847475,-1.8118246e-05,3.0671077e-05,-0.0047541551,0.51176633,0.00057606203,-0.00093998004,0.054331192
65,0.064,0.52000006,1.2869128,-0.29522362,-1.5749376,7.5332129e-08,-2.6035199e-07,0.78163257,1.2993405e-07,-2.3785548e-07,-2.3565701,-0.047343688,-1.7549902e-05,2.9737126e-05,-0.0047007195,0.50644653,0.00057091697,-0.00093596101,0.053734142
66,0.065,0.52000005,1.286895,-0.29524851,-1.5749893,6.6956809e-08,-2.2741053e-07,0.78158547,1.1266348e-07,-2.0858021e-07,-2.3565748,-0.046845154,-1.6988176e-05,2.8810357e-05,-0.0046478731,0.50117156,0.00056478932,-0.00092983245,0.053142289
67,0.066,0.52000004,1.2868775,-0.29527314,-1.5750406,5.8838059e-08,-1.955155e-07,0.78153887,9.5950706e-08,-1.8022677e-07,-2.3565794,-0.046351826,-1.643387e-05,2.7892522e-05,-0.0045956106,0.49594269,0.00055780043,-0.00092183443,0.052555792
68,0.067,0.52000004,1.2868601,-0.29529751,-1.5750912,5.0974385e-08,-1.6465464e-07,0.78149276,7.9787996e-08,-1.5278551e-07,-2.356584,-0.045863656,-1.5887679e-05,2.6985159e-05,-0.0045439263,0.49076088,0.00055006094,-0.00091218679,0.051974774
