0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.29323,-1.5708,5.07265e-17,-1.22465e-16,0.785398,0,0,-2.35619,0,0,0,0,-14.3191,0.0413878,-0.0458363,-1.09174,0,0,0,0
1,0.0001,0,0,-4.90332e-08,0,-0,0,0,0,-0.000980665,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.29323,-1.5708,2.11787e-11,-2.80781e-10,0.785398,1.83566e-10,-2.13518e-10,-2.35619,-0.00138814,3.45163e-06,-4.11901e-06,-0.000101572,-13.4533,0.0284663,-0.0366977,-0.94478,6.94419,-0.0172673,0.0206057,0.508119
2,0.0002,0,0,-1.96133e-07,0,-0,0,0,0,-0.00196133,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.29323,-1.5708,9.90878e-11,-1.02519e-09,0.785398,6.54855e-10,-7.94986e-10,-2.35619,-0.00269249,5.82155e-06,-7.37642e-06,-0.00018985,-12.6425,0.0194748,-0.0286375,-0.824794,13.4762,-0.0291405,0.0369219,0.950244
3,0.0003,0,0,-4.41299e-07,0,-0,0,0,0,-0.00294199,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293231,-1.5708,2.41047e-10,-2.11197e-09,0.785398,1.32294e-09,-1.66384e-09,-2.35619,-0.00391833,7.43237e-06,-9.88567e-06,-0.000267237,-11.8825,0.0131067,-0.021737,-0.726113,19.6219,-0.037228,0.0495115,1.33832
4,0.0004,0,0,-7.84532e-07,0,-0,0,0,0,-0.00392266,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293231,-1.5708,4.43708e-10,-3.4468e-09,0.785397,2.1235e-09,-2.75101e-09,-2.35619,-0.00507055,8.50136e-06,-1.17612e-05,-0.000335632,-11.1695,0.00852375,-0.0159513,-0.644311,25.4056,-0.042613,0.0589437,1.68181
5,0.0005,0,0,-1.22583e-06,0,-0,0,0,0,-0.00490332,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293232,-1.5708,6.98796e-10,-4.95599e-09,0.785397,3.01028e-09,-3.99854e-09,-2.35619,-0.00615368,9.1778e-06,-1.31097e-05,-0.000396544,-10.5001,0.00518072,-0.0111759,-0.575926,30.8493,-0.0460395,0.0657485,1.9882
6,0.0006,0,0,-1.7652e-06,0,-0,0,0,0,-0.00588399,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293233,-1.5708,9.96301e-10,-6.58186e-09,0.785396,3.94957e-09,-5.35858e-09,-2.35619,-0.00717192,9.56639e-06,-1.40259e-05,-0.000451173,-9.87128,0.00271694,-0.00728451,-0.518253,35.9739,-0.0480295,0.0703975,2.26347
7,0.0007,0,0,-2.40263e-06,0,-0,0,0,0,-0.00686465,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293234,-1.5708,1.32619e-09,-8.27925e-09,0.785395,4.91654e-09,-6.79208e-09,-2.35619,-0.0081292,9.74212e-06,-1.45918e-05,-0.000500479,-9.28031,0.00088926,-0.00414925,-0.469168,40.7985,-0.0489564,0.0732986,2.51238
8,0.0008,0,0,-3.13813e-06,0,-0,0,0,0,-0.00784532,0,0,0,0,0,-9.80665,0,0,0,0.52,1.28833,-0.293235,-1.5708,1.67923e-09,-1.00129e-08,0.785394,5.89277e-09,-8.26761e-09,-2.35619,-0.00902916,9.7597e-06,-1.48769e-05,-0.000545236,-8.72467,-0.000469692,-0.00165058,-0.427008,45.3412,-0.0490931,0.0747981,2.73878
9,0.0009,0,0,-3.97169e-06,0,-0,0,0,0,-0.00882598,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293236,-1.5708,2.04736e-09,-1.17554e-08,0.785393,6.86459e-09,-9.76008e-09,-2.35619,-0.00987523,9.65977e-06,-1.49395e-05,-0.000586067,-8.20209,-0.00147761,0.000318204,-0.390464,49.6189,-0.0486421,0.0751857,2.94577
10,0.001,0,0,-4.90332e-06,0,-0,0,0,0,-0.00980665,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293238,-1.5708,2.4238e-09,-1.34857e-08,0.785392,7.82185e-09,-1.12497e-08,-2.35619,-0.0106706,9.47298e-06,-1.48278e-05,-0.000623481,-7.71046,-0.00221907,0.00184973,-0.358505,53.6472,-0.047756,0.0747017,3.13586
11,0.0011,0,0,-5.93302e-06,0,-0,0,0,0,-0.0107873,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.29324,-1.5708,2.80293e-09,-1.51875e-08,0.785391,8.75709e-09,-1.27212e-08,-2.35619,-0.0114183,9.22272e-06,-1.45815e-05,-0.000657893,-7.24785,-0.00275612,0.00302292,-0.330317,57.4408,-0.0465514,0.0735436,3.31113
12,0.0012,0,0,-7.06079e-06,0,-0,0,0,0,-0.011768,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293241,-1.5708,3.18026e-09,-1.68486e-08,0.78539,9.6649e-09,-1.41626e-08,-2.35619,-0.0121211,8.92699e-06,-1.4233e-05,-0.000689648,-6.81246,-0.00313513,0.00390419,-0.305255,61.0136,-0.0451182,0.0718729,3.47327
13,0.0013,0,0,-8.28662e-06,0,-0,0,0,0,-0.0127486,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293243,-1.57081,3.5522e-09,-1.84603e-08,0.785389,1.05414e-08,-1.55653e-08,-2.3562,-0.0127816,8.59976e-06,-1.38085e-05,-0.000719031,-6.40263,-0.00339137,0.00454892,-0.282805,64.3787,-0.0435259,0.0698209,3.62371
14,0.0014,0,0,-9.61051e-06,0,-0,0,0,0,-0.0137293,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293245,-1.57081,3.91601e-09,-2.00159e-08,0.785387,1.13842e-08,-1.69225e-08,-2.3562,-0.0134024,8.25188e-06,-1.33295e-05,-0.000746282,-6.0168,-0.00355198,0.00500301,-0.26256,67.548,-0.0418286,0.0674937,3.76363
15,0.0015,0,0,-1.10325e-05,0,-0,0,0,0,-0.01471,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.293247,-1.57081,4.26961e-09,-2.15112e-08,0.785386,1.21914e-08,-1.82299e-08,-2.3562,-0.0139857,7.89183e-06,-1.2813e-05,-0.000771605,-5.65355,-0.00363815,0.00530426,-0.24419,70.5332,-0.0400687,0.0649765,3.89404
16,0.0016,0,0,-1.25525e-05,0,-0,0,0,0,-0.0156906,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28833,-0.29325,-1.57081,4.61145e-09,-2.29434e-08,0.785385,1.29623e-08,-1.94844e-08,-2.3562,-0.0145338,7.52617e-06,-1.22727e-05,-0.000795174,-5.31151,-0.00366652,0.00548374,-0.22743,73.3449,-0.038279,0.0623377,4.0158
17,0.0017,0,0,-1.41706e-05,0,-0,0,0,0,-0.0166713,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28832,-0.293252,-1.57081,4.94047e-09,-2.43109e-08,0.785383,1.36966e-08,-2.0684e-08,-2.3562,-0.0150487,7.16e-06,-1.17195e-05,-0.000817138,-4.98942,-0.00365029,0.00556685,-0.212067,75.9933,-0.0364848,0.0596315,4.12965
18,0.0018,0,0,-1.58868e-05,0,-0,0,0,0,-0.017652,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28832,-0.293255,-1.57081,5.25596e-09,-2.56133e-08,0.785382,1.43945e-08,-2.18281e-08,-2.3562,-0.0155323,6.79724e-06,-1.11618e-05,-0.000837628,-4.68611,-0.00359991,0.00557435,-0.197925,78.4879,-0.0347059,0.0569006,4.23624
19,0.0019,0,0,-1.7701e-05,0,-0,0,0,0,-0.0186326,0,0,0,0,0,-9.80664,0,0,0,0.52,1.28832,-0.293257,-1.57082,5.5575e-09,-2.68509e-08,0.78538,1.50563e-08,-2.29165e-08,-2.3562,-0.0159865,6.44088e-06,-1.06065e-05,-0.000856759,-4.40046,-0.00352375,0.0055231,-0.18486,80.8376,-0.0329572,0.0541785,4.33613
20,0.002,0,0,-1.96133e-05,0,-0,0,0,0,-0.0196133,0,0,0,0,0,-9.80663,0,0,0,0.52,1.28832,-0.29326,-1.57082,5.84492e-09,-2.80246e-08,0.785378,1.56829e-08,-2.39497e-08,-2.3562,-0.016413,6.09313e-06,-1.00587e-05,-0.000874632,-4.13143,-0.00342847,0.00542681,-0.172752,83.0509,-0.0312498,0.051491,4.42983
21,0.0021,0,0,-2.16237e-05,0,-0,0,0,0,-0.0205939,0,0,0,0,0,-9.80663,0,0,0,0.52,1.28832,-0.293263,-1.57082,6.11821e-09,-2.91357e-08,0.785377,1.62753e-08,-2.49286e-08,-2.3562,-0.0168133,5.75564e-06,-9.52229e-06,-0.000891338,-3.87806,-0.0033194,0.00529656,-0.161502,85.1357,-0.0295919,0.0488579,4.51777
22,0.0022,0,0,-2.37321e-05,0,-0,0,0,0,-0.0215746,0,0,0,0,0,-9.80663,0,0,0,0.52,1.28832,-0.293266,-1.57082,6.37753e-09,-3.01859e-08,0.785375,1.68344e-08,-2.58546e-08,-2.3562,-0.0171891,5.42956e-06,-9.00022e-06,-0.000906958,-3.63942,-0.00320078,0.00514131,-0.151025,87.0995,-0.0279895,0.0462938,4.60037
